date,tc,pres,mois_de_l_annee
2022-03-18T16:00:00+01:00,12.200000000000045,100970,3
2022-03-25T04:00:00+01:00,8.900000000000034,100470,3
2022-05-01T23:00:00+02:00,15.800000000000011,100010,5
2022-03-21T22:00:00+01:00,10.300000000000011,100790,3
2022-05-03T14:00:00+02:00,18.5,99810,5
2022-05-03T17:00:00+02:00,20.400000000000034,99700,5
2022-05-03T20:00:00+02:00,19,99750,5
2022-05-07T05:00:00+02:00,11.700000000000045,100550,5
2022-05-06T20:00:00+02:00,19.600000000000023,100500,5
2022-05-10T14:00:00+02:00,26.600000000000023,100350,5
2022-04-21T14:00:00+02:00,11.200000000000045,98990,4
2022-04-22T23:00:00+02:00,14.100000000000023,97890,4
2022-05-28T05:00:00+02:00,14.200000000000045,100160,5
2022-04-28T17:00:00+02:00,17.400000000000034,100580,4
2022-03-21T04:00:00+01:00,11.800000000000011,100570,3
2022-04-20T05:00:00+02:00,8.800000000000011,99090,4
2022-10-19T20:00:00+02:00,21,99780,10
2022-04-08T14:00:00+02:00,19.5,99260,4
2022-02-24T04:00:00+01:00,8.900000000000034,100260,2
2022-03-29T17:00:00+02:00,17.600000000000023,99070,3
2022-03-17T04:00:00+01:00,11.600000000000023,100440,3
2022-03-14T10:00:00+01:00,11.800000000000011,100200,3
2022-04-29T14:00:00+02:00,20,100800,4
2022-05-04T20:00:00+02:00,16.900000000000034,100110,5
2022-05-07T11:00:00+02:00,16.600000000000023,100660,5
2022-03-27T01:00:00+01:00,11.100000000000023,100500,3
2022-04-24T14:00:00+02:00,16.100000000000023,99210,4
2022-05-09T02:00:00+02:00,15,100370,5
2022-10-25T08:00:00+02:00,13.200000000000045,99890,10
2022-04-24T23:00:00+02:00,12,99610,4
2022-04-25T11:00:00+02:00,13.800000000000011,99710,4
2022-04-30T02:00:00+02:00,15.700000000000045,100640,4
2022-02-24T19:00:00+01:00,11.200000000000045,100670,2
2022-03-17T19:00:00+01:00,12.5,100730,3
2022-04-01T02:00:00+02:00,4.600000000000023,98880,4
2022-04-20T02:00:00+02:00,9.200000000000045,99250,4
2022-06-16T14:00:00+02:00,35.10000000000002,100170,6
2022-06-10T20:00:00+02:00,27.100000000000023,100290,6
2022-04-20T14:00:00+02:00,11.600000000000023,99160,4
2022-04-02T05:00:00+02:00,2.6000000000000227,99620,4
2022-07-21T08:00:00+02:00,20.100000000000023,100470,7
2022-06-17T08:00:00+02:00,23.30000000000001,100270,6
2022-06-21T05:00:00+02:00,20.400000000000034,99390,6
2022-06-24T20:00:00+02:00,24.5,99600,6
2022-06-25T20:00:00+02:00,20.900000000000034,99520,6
2022-07-01T17:00:00+02:00,23.600000000000023,100260,7
2022-07-02T11:00:00+02:00,23.200000000000045,100200,7
2022-07-02T02:00:00+02:00,16,100270,7
2022-07-11T14:00:00+02:00,34.200000000000045,99800,7
2022-07-19T17:00:00+02:00,33.900000000000034,99670,7
2022-07-12T20:00:00+02:00,35.5,100060,7
2022-07-24T17:00:00+02:00,37.900000000000034,99610,7
2022-07-27T14:00:00+02:00,26.400000000000034,99900,7
2022-06-07T08:00:00+02:00,17.900000000000034,100320,6
2022-08-03T05:00:00+02:00,19.30000000000001,99590,8
2022-07-14T20:00:00+02:00,35.900000000000034,99950,7
2022-05-16T20:00:00+02:00,27.30000000000001,100030,5
2022-05-17T05:00:00+02:00,17.400000000000034,100070,5
2022-05-18T11:00:00+02:00,25.600000000000023,100140,5
2022-05-19T17:00:00+02:00,26.900000000000034,100150,5
2022-08-12T08:00:00+02:00,23.200000000000045,99600,8
2022-08-13T23:00:00+02:00,28.700000000000045,99240,8
2022-08-14T08:00:00+02:00,21.900000000000034,99380,8
2022-08-16T11:00:00+02:00,29.30000000000001,98830,8
2022-08-17T02:00:00+02:00,20.100000000000023,100400,8
2022-05-16T05:00:00+02:00,16,100000,5
2022-08-19T23:00:00+02:00,22.400000000000034,100350,8
2022-08-21T08:00:00+02:00,20.5,100040,8
2022-09-25T23:00:00+02:00,13.700000000000045,99930,9
2022-08-27T08:00:00+02:00,18.900000000000034,99660,8
2022-08-28T08:00:00+02:00,18.600000000000023,99600,8
2022-08-30T14:00:00+02:00,29.700000000000045,99990,8
2022-09-01T05:00:00+02:00,19.600000000000023,99950,9
2022-09-03T08:00:00+02:00,18.5,99680,9
2022-07-30T08:00:00+02:00,20.100000000000023,100400,7
2022-07-16T23:00:00+02:00,29.700000000000045,99970,7
2022-06-22T05:00:00+02:00,21,98970,6
2022-07-15T14:00:00+02:00,33.900000000000034,99980,7
2022-10-12T05:00:00+02:00,14,100330,10
2022-09-10T23:00:00+02:00,22.5,100050,9
2022-09-11T20:00:00+02:00,31.5,99460,9
2022-09-09T02:00:00+02:00,19,99940,9
2022-02-06T22:00:00+01:00,8.900000000000034,101290,2
2022-02-12T10:00:00+01:00,3,100880,2
2022-02-12T13:00:00+01:00,11.600000000000023,100700,2
2022-02-13T13:00:00+01:00,15.200000000000045,99800,2
2022-10-08T11:00:00+02:00,18.200000000000045,100470,10
2022-03-04T07:00:00+01:00,9.700000000000045,99890,3
2022-02-06T10:00:00+01:00,2.7000000000000455,101410,2
2022-02-06T04:00:00+01:00,-0.0999999999999659,101280,2
2022-03-07T01:00:00+01:00,2.900000000000034,99990,3
2022-02-04T13:00:00+01:00,12,100430,2
2022-03-05T22:00:00+01:00,7.5,100070,3
2022-10-09T11:00:00+02:00,18.200000000000045,100030,10
2022-02-28T19:00:00+01:00,13.800000000000011,100780,2
2022-03-04T19:00:00+01:00,8.300000000000011,100190,3
2022-02-13T19:00:00+01:00,12.400000000000034,99280,2
2022-01-05T22:00:00+01:00,3.7000000000000455,100190,1
2022-01-07T19:00:00+01:00,7.7000000000000455,100880,1
2022-01-09T10:00:00+01:00,8.200000000000045,99770,1
2022-01-12T13:00:00+01:00,3.5,101590,1
2022-01-16T22:00:00+01:00,0.8000000000000114,101690,1
2022-01-21T13:00:00+01:00,4.900000000000034,101390,1
2022-01-31T22:00:00+01:00,7.100000000000023,101200,1
2022-01-26T16:00:00+01:00,11,101300,1
2022-01-28T22:00:00+01:00,2.5,101990,1
2022-01-03T22:00:00+01:00,7.7000000000000455,99870,1
2022-01-25T13:00:00+01:00,8.800000000000011,101530,1
2022-01-24T19:00:00+01:00,7.300000000000011,101180,1
2022-11-08T10:00:00+01:00,18.700000000000045,99630,11
2022-11-23T19:00:00+01:00,11.700000000000045,99760,11
2022-12-05T16:00:00+01:00,10.900000000000034,99860,12
2022-12-23T19:00:00+01:00,14.300000000000011,100120,12
2022-11-06T01:00:00+01:00,6,100180,11
2022-11-06T16:00:00+01:00,20,99930,11
2022-02-28T10:00:00+01:00,10.100000000000023,100960,2
2022-02-19T13:00:00+01:00,10.900000000000034,100830,2
2022-02-22T19:00:00+01:00,12.800000000000011,101220,2
2022-03-09T10:00:00+01:00,9.200000000000045,100390,3
2022-03-04T01:00:00+01:00,10.100000000000023,99750,3
2022-10-11T17:00:00+02:00,22.200000000000045,100240,10
2022-01-29T07:00:00+01:00,0.5,101900,1
2022-03-27T14:00:00+02:00,19.80000000000001,100610,3
2022-03-28T20:00:00+02:00,16.30000000000001,99860,3
2022-03-12T10:00:00+01:00,8.5,99760,3
2022-03-01T01:00:00+01:00,5.600000000000023,100860,3
2022-11-07T01:00:00+01:00,8.300000000000011,100290,11
2022-08-16T05:00:00+02:00,19.200000000000045,99040,8
2022-08-10T08:00:00+02:00,20.200000000000045,99930,8
2022-09-04T05:00:00+02:00,20.400000000000034,99700,9
2022-09-05T17:00:00+02:00,33.400000000000034,99720,9
2022-09-05T23:00:00+02:00,24.600000000000023,99890,9
2022-09-05T11:00:00+02:00,27.600000000000023,99980,9
2022-09-06T23:00:00+02:00,26.400000000000034,99870,9
2022-09-17T02:00:00+02:00,16.400000000000034,100000,9
2022-09-08T02:00:00+02:00,18.30000000000001,99770,9
2022-09-17T14:00:00+02:00,21.400000000000034,100120,9
2022-09-21T20:00:00+02:00,22.5,100040,9
2022-09-09T11:00:00+02:00,16.900000000000034,100250,9
2022-09-12T02:00:00+02:00,22.100000000000023,99480,9
2022-09-12T20:00:00+02:00,25.5,99210,9
2022-07-31T05:00:00+02:00,19.100000000000023,100310,7
2022-08-02T14:00:00+02:00,33.10000000000002,99900,8
2022-08-04T05:00:00+02:00,23.700000000000045,99690,8
2022-08-06T11:00:00+02:00,26.100000000000023,100250,8
2022-08-08T02:00:00+02:00,24.200000000000045,99820,8
2022-09-05T08:00:00+02:00,23.30000000000001,99950,9
2022-08-24T17:00:00+02:00,36.10000000000002,99430,8
2022-05-13T23:00:00+02:00,20.900000000000034,100330,5
2022-05-25T05:00:00+02:00,12.100000000000023,99990,5
2022-07-23T08:00:00+02:00,16.80000000000001,97430,7
2022-05-27T08:00:00+02:00,16.5,100780,5
2022-06-15T14:00:00+02:00,33.5,100000,6
2022-06-27T02:00:00+02:00,15.600000000000023,99900,6
2022-08-20T20:00:00+02:00,28.30000000000001,100000,8
2022-06-29T05:00:00+02:00,14.300000000000011,99890,6
2022-07-20T08:00:00+02:00,21.80000000000001,100360,7
